"PC1","PC2","PC3","NoiseCondition"
0.723005533052884,0.449730420693082,0.106097343860005,"Baseline"
0.716985286530092,0.455308412324154,0.112465279712455,"Baseline"
0.702046254770261,0.469150003996053,0.128267090416412,"Baseline"
0.730008567881636,0.445382720908501,0.108456065546137,"Baseline"
0.719053344682977,0.45553315961351,0.120043989448293,"Baseline"
0.720668326861426,0.456177699345598,0.128101941808263,"Baseline"
0.744350673866766,0.43637597066356,0.112818065371314,"Baseline"
0.733209546867565,0.446698656441789,0.124602629638959,"Baseline"
0.731038121412082,0.448710566248525,0.12689946216177,"Baseline"
0.725478721648378,0.453861565503842,0.132779935816689,"Baseline"
0.738468798657921,0.443966639197409,0.128805843653946,"Baseline"
0.738366322804163,0.444061587045887,0.128914237830278,"Baseline"
0.726982208208131,0.454609410246054,0.140955823039458,"Baseline"
0.725303434104051,0.458305742775858,0.1524977571004,"Baseline"
0.715250575170686,0.467620106030978,0.16313120218924,"Baseline"
0.747975833948127,0.439439769264648,0.138282155644043,"Baseline"
0.728575095039676,0.457415305458764,0.158803351975692,"Baseline"
0.725611532681101,0.46016116079404,0.161938069951557,"Baseline"
0.752266854711244,0.437604855576814,0.143509519259625,"Baseline"
0.756972952431173,0.435385357008182,0.148297833838794,"Baseline"
0.761837743104196,0.433018823270654,0.152918290417179,"Baseline"
0.75565306382916,0.438749168216896,0.15946015556212,"Baseline"
0.752215890866312,0.448356491982161,0.19239445218336,"Baseline"
0.756216851953132,0.44679032982149,0.197928627389638,"Baseline"
0.631758686505761,0.632307519891955,-0.148610810094942,"Baseline"
0.616879196987881,0.648234826655716,-0.123105775246803,"Baseline"
0.607759565588011,0.660966285018758,-0.0939270443975587,"Baseline"
0.622607509591574,0.651490856253292,-0.0901000964246481,"Baseline"
0.627534595877067,0.653348369788904,-0.066013122939604,"Baseline"
0.677549602931503,0.609148411429454,-0.10915045843046,"Baseline"
0.657136878357922,0.628061591547202,-0.087558830883951,"Baseline"
0.644585684452497,0.641831642226555,-0.0645165584907239,"Baseline"
